ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
487,Oregon,8/10/2020,21488,357,4226,16905,509.4675178,450732,1798,1.661392405,10686.58382,8.367460908
488,Pennsylvania,8/10/2020,124221,7314,91978,24929,970.325783,1360283,,5.887893351,10625.55983,
489,Rhode Island,8/10/2020,19934,1015,1900,17019,1881.700384,222347,2311,5.09180295,20988.78475,11.59325775
490,South Carolina,8/10/2020,101159,2048,37798,61313,1964.743041,791630,6153,2.024535632,15375.29566,6.082503781
491,South Dakota,8/10/2020,9663,146,8371,1146,1092.285276,121477,882,1.510917934,13731.50559,9.127600124
492,Tennessee,8/10/2020,123914,1233,83170,39511,1814.480053,1727907,5339,0.995044951,25301.8447,4.308633407
493,Texas,8/10/2020,509581,9230,349833,150518,1757.425477,4073661,,1.811292022,14049.10235,
494,Utah,8/10/2020,44390,345,34319,9726,1384.60953,574560,2642,0.777202073,17921.63216,5.951790944
495,Vermont,8/10/2020,1462,58,1282,122,234.2990021,103353,,3.967168263,16563.27275,
496,Virginia,8/10/2020,100749,2327,12961,85461,1180.350017,1261547,14212,2.309700344,14779.96827,14.10634349
497,Washington,8/10/2020,63647,1697,,61950,835.8226439,1013179,6001,2.666268638,13305.22963,9.42856694
498,West Virginia,8/10/2020,7757,141,5699,1917,432.8327978,327044,,1.817713033,18248.72625,
499,Wisconsin,8/10/2020,61061,998,50662,9401,1048.719487,1066758,5031,1.634431143,18321.51296,8.239301682
500,Wyoming,8/10/2020,3042,28,2483,531,525.6073772,57682,179,0.920447074,9966.497281,5.884286654
501,Alabama,8/11/2020,103851,1847,37923,64081,2118.031443,783689,12070,1.778509595,15983.26394,11.62242058
502,Alaska,8/11/2020,3819,26,1344,2449,522.0458072,290744,,0.680806494,39743.82984,
503,Arizona,8/11/2020,188737,4199,26102,158436,2592.998189,1037275,19292,2.224788992,14250.79447,10.22163116
504,Arkansas,8/11/2020,50411,566,42998,6847,1670.453084,572868,3401,1.122770824,18982.94256,6.746543413
505,California,8/11/2020,578946,10523,,568423,1465.23267,9186279,,1.817613387,23249.20823,
506,Colorado,8/11/2020,51422,1874,5579,43969,892.9390061,597182,6627,3.644354556,10370.0187,12.88748007
507,Connecticut,8/11/2020,50684,4444,8721,37519,1421.596634,911299,10920,8.768053034,25560.32656,21.54526083
508,Delaware,8/11/2020,15699,591,8519,6589,1612.197617,202200,,3.764570992,20764.7849,
509,Florida,8/11/2020,542792,8553,,534239,2527.230872,4049275,31750,1.575741721,18853.35964,5.849386137
510,Georgia,8/11/2020,222588,4351,,218237,2096.440916,1895485,21031,1.95473251,17852.59003,9.448397937
511,Hawaii,8/11/2020,3756,34,1586,2136,265.2782172,145836,242,0.905218317,10300.08362,6.443024494
512,Idaho,8/11/2020,25598,246,9341,16011,1432.404529,208405,1006,0.961012579,11661.85897,3.929994531
513,Illinois,8/11/2020,198248,7866,,190382,1564.47917,3149003,,3.967757556,24850.43783,
514,Indiana,8/11/2020,75862,3069,56349,16444,1126.849854,861655,9599,4.045503678,12798.9746,12.65323878
515,Iowa,8/11/2020,49521,946,38033,10542,1569.568979,523920,,1.910300681,16605.65376,
516,Kansas,8/11/2020,31468,393,1319,29756,1080.144468,326669,1911,1.248887759,11212.96915,6.072835897
517,Kentucky,8/11/2020,35793,783,8819,26191,801.1553218,668355,4063,2.187578577,14959.80122,11.35138156
518,Louisiana,8/11/2020,133125,4313,89083,39729,2863.645926,1568564,,3.239812207,33741.31011,
519,Maine,8/11/2020,4052,126,3560,366,301.4405466,192453,394,3.109575518,14317.16128,9.723593287
520,Maryland,8/11/2020,96843,3604,5935,87304,1601.854547,1067459,13266,3.721487356,17656.55807,13.69846039
521,Massachusetts,8/11/2020,121707,8751,99021,13935,1765.788132,1346344,12089,7.190219133,19533.45541,9.932871569
522,Michigan,8/11/2020,98213,6533,63636,28044,983.4225122,2146554,,6.651868897,21493.78929,
523,Minnesota,8/11/2020,61839,1707,55151,4981,1096.507715,946030,5661,2.760393926,16774.67608,9.154417115
524,Mississippi,8/11/2020,68293,1944,49836,16513,2294.676779,504404,4738,2.846558212,16948.21059,6.937753503
525,Missouri,8/11/2020,61440,1346,,60094,1001.070807,787220,,2.190755208,12826.54558,
526,Montana,8/11/2020,5104,77,3542,1485,477.5547401,194412,276,1.50862069,18190.11993,5.407523511
527,Nebraska,8/11/2020,29030,351,21113,7566,1500.717532,305732,1741,1.209094041,15804.93877,5.99724423
528,Nevada,8/11/2020,57520,981,1361,55178,1867.437883,524749,,1.705493741,17036.44231,
529,New Hampshire,8/11/2020,6861,419,6126,316,504.59252,175399,705,6.10698149,12899.72649,10.27547005
530,New Jersey,8/11/2020,185475,15890,33223,136362,2088.167445,2350310,22052,8.567192344,26460.92912,11.88947297
531,New Mexico,8/11/2020,22643,693,9428,12522,1079.868697,632997,2870,3.060548514,30188.29862,12.6749989
532,New York,8/11/2020,422003,32787,73779,315437,2169.284071,6640705,89995,7.769376047,34136.19234,21.32567778
533,North Carolina,8/11/2020,138743,2248,116969,19526,1322.863165,2017498,,1.620261923,19236.09689,
534,North Dakota,8/11/2020,7885,118,6668,1099,1034.692715,171858,430,1.496512365,22551.70839,5.453392517
535,Ohio,8/11/2020,102826,3708,80885,18233,879.6742264,1707770,11760,3.606091844,14609.93575,11.43679614
536,Oklahoma,8/11/2020,44728,618,37193,6917,1130.35956,714235,3760,1.381684851,18050.04383,8.406367376
537,Oregon,8/11/2020,21774,368,4226,17180,516.2484052,457088,1813,1.690089097,10837.28075,8.326444383
538,Pennsylvania,8/11/2020,125016,7343,92616,25057,976.5357555,1375594,,5.873648173,10745.15843,
539,Rhode Island,8/11/2020,20053,1016,1911,17126,1892.93357,224170,2317,5.06657358,21160.86962,11.55438089
540,South Carolina,8/11/2020,102130,2098,40837,59195,1983.602119,796351,6482,2.05424459,15466.98846,6.346812886
541,South Dakota,8/11/2020,9713,146,8507,1060,1097.937171,122409,887,1.503140121,13836.85691,9.132091012
542,Tennessee,8/11/2020,124915,1271,85313,38331,1829.137755,1740784,5464,1.017491894,25490.40338,4.374174439
543,Texas,8/11/2020,517700,9222,358312,150166,1785.426006,4088863,,1.781340545,14101.53049,
544,Utah,8/11/2020,44752,349,34764,9639,1395.901007,578549,2677,0.779853414,18046.05675,5.98185556
545,Vermont,8/11/2020,1472,58,1295,119,235.9015944,103957,,3.940217391,16660.06933,
546,Virginia,8/11/2020,101745,2344,13152,86249,1192.018904,1271545,14445,2.303798712,14897.10233,14.19725785
547,Washington,8/11/2020,64151,1716,,62435,842.4412529,1013754,6049,2.674938816,13312.78063,9.429315209
548,West Virginia,8/11/2020,7879,147,5863,1869,439.640275,330609,,1.865719,18447.64966,
549,Wisconsin,8/11/2020,61785,1006,51456,9323,1061.15415,1080400,5092,1.628226916,18555.8136,8.24148256
550,Wyoming,8/11/2020,3073,29,2541,503,530.9636654,58852,183,0.943703222,10168.65396,5.955092743
551,Alabama,8/12/2020,104786,1882,41523,61381,2137.10068,795771,12292,1.796041456,16229.6752,11.7305747
552,Alaska,8/12/2020,3879,27,1359,2493,530.2476266,292582,,0.696055684,39995.07891,
553,Arizona,8/12/2020,189443,4347,26418,158678,2602.697701,1044228,19821,2.294621601,14346.31955,10.46277772
554,Arkansas,8/12/2020,51096,572,42998,7526,1693.151709,573571,3472,1.119461406,19006.23765,6.79505245
555,California,8/12/2020,591376,10753,,580623,1496.69129,9303467,,1.818301723,23545.79493,
556,Colorado,8/12/2020,51737,1875,5608,44254,898.4089564,601300,6679,3.624098807,10441.52745,12.90952317
557,Connecticut,8/12/2020,50706,4450,8721,37535,1422.213696,919283,10920,8.776081726,25784.26365,21.53591291
558,Delaware,8/12/2020,15765,592,8519,6654,1618.97544,202200,,3.755153822,20764.7849,
559,Florida,8/12/2020,550901,8765,,542136,2564.986246,4087579,32349,1.591029967,19031.70246,5.872016932
560,Georgia,8/12/2020,226153,4456,,221697,2130.017802,1916742,21379,1.970347508,18052.79869,9.453334689
561,Hawaii,8/12/2020,3958,38,1665,2255,279.5450436,150233,260,0.960080849,10610.63429,6.568974229
562,Idaho,8/12/2020,26134,246,9548,16340,1462.397842,212244,1037,0.941302518,11876.68048,3.96801102
563,Illinois,8/12/2020,199893,7881,,192012,1577.46073,3191101,,3.942609296,25182.65528,
564,Indiana,8/12/2020,76522,3086,57209,16227,1136.653457,866994,9678,4.032827161,12878.27981,12.64734325
565,Iowa,8/12/2020,49973,953,38657,10363,1583.895128,528148,,1.907029796,16739.66029,
566,Kansas,8/12/2020,32097,397,1367,30333,1101.735,334563,1975,1.23687572,11483.93204,6.153223043
567,Kentucky,8/12/2020,36945,790,8893,27262,826.9405572,674775,4091,2.13831371,15103.50019,11.07321694
568,Louisiana,8/12/2020,134304,4356,103512,26436,2889.007343,1598609,,3.243388134,34387.60676,
569,Maine,8/12/2020,4070,126,3579,365,302.7796211,199118,394,3.095823096,14812.99081,9.680589681
570,Maryland,8/12/2020,97384,3612,5956,87816,1610.803086,1078838,13348,3.709028177,17844.77511,13.70656371
571,Massachusetts,8/12/2020,122000,8769,99021,14210,1765.788132,1346344,12089,7.190219133,19533.45541,9.932871569
572,Michigan,8/12/2020,98689,6539,63636,28514,988.1887765,2181841,,6.625865091,21847.12367,
573,Minnesota,8/12/2020,62303,1724,55855,4724,1104.735203,952785,5711,2.767121968,16894.4534,9.166492785
574,Mississippi,8/12/2020,69374,1989,49836,17549,2330.998885,507814,4794,2.867068354,17062.78819,6.910369879
575,Missouri,8/12/2020,62956,1354,,61602,1025.771708,798581,,2.150708431,13011.6557,
576,Montana,8/12/2020,5268,80,3598,1590,492.8993673,196036,301,1.518602885,18342.06917,5.713743356
577,Nebraska,8/12/2020,29244,356,21312,7576,1511.780348,308462,1880,1.217343729,15946.06722,6.428669129
578,Nevada,8/12/2020,58048,996,1385,55667,1884.579872,527535,,1.715821389,17126.89227,
579,New Hampshire,8/12/2020,6887,420,6162,305,506.5046911,180451,705,6.098446348,13271.27603,10.2366778
580,New Jersey,8/12/2020,185938,15885,33223,136830,2093.380124,2376016,22096,8.543170304,26750.33972,11.88353107
581,New Mexico,8/12/2020,22816,695,9612,12509,1088.119251,640337,2897,3.046107994,30538.35101,12.69723001
582,New York,8/12/2020,422703,32797,73842,316064,2172.882384,6728481,89995,7.758875617,34587.40022,21.29036226
583,North Carolina,8/12/2020,139739,2280,116969,20490,1332.359657,1823283,,1.63876942,17384.32873,
584,North Dakota,8/12/2020,7970,120,6815,1035,1045.846663,173019,440,1.505646173,22704.0582,5.520702635
585,Ohio,8/12/2020,104248,3734,82310,18204,891.8394059,1728380,11901,3.581843297,14786.25386,11.41604635
586,Oklahoma,8/12/2020,45398,627,37988,6783,1147.291704,722107,3842,1.381118111,18248.98388,8.462927882
587,Oregon,8/12/2020,22022,375,4282,17365,522.1283356,462542,1845,1.702842612,10966.5918,8.377985651
588,Pennsylvania,8/12/2020,125918,7380,94481,24057,983.5815357,1393106,,5.860957131,10881.94967,
589,Rhode Island,8/12/2020,20129,1018,1929,17182,1900.107706,226133,2336,5.0573799,21346.17,11.6051468
590,South Carolina,8/12/2020,102974,2144,40837,59993,1999.994562,800089,6482,2.082078971,15539.58911,6.29479286
591,South Dakota,8/12/2020,9815,147,8606,1062,1109.467038,123628,892,1.49770759,13974.65012,9.088130413
592,Tennessee,8/12/2020,126393,1289,87290,37814,1850.780197,1759692,5554,1.019834959,25767.27434,4.394230693
593,Texas,8/12/2020,523977,9527,367354,147096,1807.073908,4106360,,1.818209578,14161.87354,
594,Utah,8/12/2020,45090,351,35311,9428,1406.443877,581209,2696,0.778443114,18129.02727,5.979152806
595,Vermont,8/12/2020,1478,58,1302,118,236.8631498,105073,,3.924221922,16838.91863,
596,Virginia,8/12/2020,102521,2352,13247,86922,1201.110325,1287556,14528,2.294164122,15084.68319,14.17075526
597,Washington,8/12/2020,64702,1724,,62978,849.6770736,1014258,6102,2.664523508,13319.39924,9.430929492
598,West Virginia,8/12/2020,8018,153,5960,1905,447.3963352,335239,,1.908206535,18705.99901,
599,Wisconsin,8/12/2020,62263,1011,52350,8902,1069.363775,1090377,5125,1.623757288,18727.16805,8.231212759
600,Wyoming,8/12/2020,3086,29,2577,480,533.2098507,59331,187,0.939727803,10251.41726,6.059624109
601,Alabama,8/13/2020,105557,1890,41523,62144,2152.825153,802562,12456,1.790501814,16368.17701,11.80025958
602,Alaska,8/13/2020,3963,27,1360,2576,541.7301738,294053,,0.681302044,40196.16018,
603,Arizona,8/13/2020,190794,4383,26736,159675,2621.258664,1058178,20503,2.297242052,14537.97421,10.74614506
604,Arkansas,8/13/2020,51766,582,44602,6582,1715.353283,583480,3566,1.124290075,19334.58899,6.888691419
605,California,8/13/2020,597984,10870,,587114,1513.415228,9445493,,1.817774389,23905.2432,
606,Colorado,8/13/2020,52200,1882,5630,44688,906.4489152,825062,6685,3.605363985,14327.13707,12.80651341
607,Connecticut,8/13/2020,50782,4450,8809,37523,1424.345361,927335,11015,8.762947501,26010.10802,21.69075657
608,Delaware,8/13/2020,15967,593,8587,6787,1639.719686,205628,,3.713909939,21116.82091,
609,Florida,8/13/2020,557137,8913,,548224,2594.020962,4122118,32947,1.599786049,19192.51549,5.913626271
610,Georgia,8/13/2020,228668,4538,,224130,2153.705282,1942610,21581,1.984536533,18296.43596,9.437700072
611,Hawaii,8/13/2020,4312,40,1716,2556,304.5473037,150587,267,0.927643785,10635.63655,6.192022263
612,Idaho,8/13/2020,26629,251,9850,16528,1490.096891,214613,1051,0.942581396,12009.24421,3.94682489
613,Illinois,8/13/2020,201727,7905,,193822,1591.933788,3237107,,3.918662351,25545.71281,
614,Indiana,8/13/2020,77565,3105,57209,17251,1152.14612,877970,9678,4.003094179,13041.31669,12.47727712
615,Iowa,8/13/2020,50373,960,39320,10093,1596.573135,534813,,1.90578286,16950.90759,
616,Kansas,8/13/2020,32484,403,1367,30714,1115.018841,334563,1975,1.240610762,11483.93204,6.079916266
617,Kentucky,8/13/2020,37686,796,8965,27925,843.5263727,687620,4116,2.112190203,15391.01004,10.92182773
618,Louisiana,8/13/2020,135439,4402,103512,27525,2913.422277,1615980,,3.250171664,34761.27357,
619,Maine,8/13/2020,4089,126,3592,371,304.1930886,202284,395,3.081438004,15048.51913,9.660063585
620,Maryland,8/13/2020,98160,3620,5962,88578,1623.638697,1095094,13463,3.687856561,18113.66133,13.71536267
621,Massachusetts,8/13/2020,122423,8790,100486,13147,1765.788132,1389980,12131,7.190219133,20166.54908,9.967380677
622,Michigan,8/13/2020,99856,6555,63636,29665,999.8741346,2222386,,6.564452812,22253.10726,
623,Minnesota,8/13/2020,62993,1731,56346,4916,1116.970043,963096,5742,2.747924373,17077.28448,9.115298525
624,Mississippi,8/13/2020,69986,2011,49836,18139,2351.562371,508426,4847,2.873431829,17083.35167,6.925670848
625,Missouri,8/13/2020,64429,1356,,63073,1049.771989,811357,,2.104642319,13219.82107,
626,Montana,8/13/2020,5407,81,3937,1389,505.9048745,197820,315,1.498058073,18508.98877,5.825781394
627,Nebraska,8/13/2020,29660,360,21463,7837,1533.285636,309644,1880,1.2137559,16007.17119,6.338503034
628,Nevada,8/13/2020,58650,1030,1393,56227,1904.124337,533144,,1.756180733,17308.99344,
629,New Hampshire,8/13/2020,6921,422,6190,309,509.0052224,181616,705,6.097384771,13356.956,10.18638925
630,New Jersey,8/13/2020,186594,15893,33223,137478,2100.76569,2403690,22125,8.517422854,27061.90703,11.85729445
631,New Mexico,8/13/2020,22987,697,9744,12546,1096.274422,644823,2907,3.032148606,30752.29311,12.64627833
632,New York,8/13/2020,423440,32805,73907,316728,2176.670893,6816381,89995,7.747260533,35039.24551,21.25330625
633,North Carolina,8/13/2020,140824,2287,116969,21568,1342.70473,1850689,,1.624012952,17645.6348,
634,North Dakota,8/13/2020,8171,120,6953,1098,1072.22247,175040,445,1.468608493,22969.25972,5.44608983
635,Ohio,8/13/2020,105426,3755,83642,18029,901.9171707,1753307,12023,3.561739988,14999.50381,11.40420769
636,Oklahoma,8/13/2020,46103,638,38655,6810,1165.108362,731272,3901,1.383857883,18480.60044,8.461488406
637,Oregon,8/13/2020,22300,383,4282,17635,528.7195479,467263,1853,1.717488789,11078.52386,8.30941704
638,Pennsylvania,8/13/2020,126905,7395,95254,24256,991.2912751,1410994,,5.82719357,11021.67796,
639,Rhode Island,8/13/2020,20240,1019,1943,17278,1910.585721,228474,2341,5.03458498,21567.15227,11.56620553
640,South Carolina,8/13/2020,103909,2184,40837,60888,2018.154436,806028,6482,2.101839109,15654.9383,6.23815069
641,South Dakota,8/13/2020,9897,148,8691,1058,1118.736146,124770,896,1.495402647,14103.73941,9.053248459
642,Tennessee,8/13/2020,128511,1313,89151,38047,1881.794196,1787721,5648,1.021702422,26177.70465,4.394954518
643,Texas,8/13/2020,530857,9771,375760,145326,1830.801416,4230763,,1.840608676,14590.91034,
644,Utah,8/13/2020,45424,353,35817,9254,1416.86198,584656,2721,0.777122226,18236.54583,5.990225431
645,Vermont,8/13/2020,1484,58,1310,116,237.8247052,105907,,3.908355795,16972.57484,
646,Virginia,8/13/2020,103622,2363,13389,87870,1214.009365,1306103,14647,2.280403775,15301.97519,14.13502924
647,Washington,8/13/2020,65339,1736,,63603,858.0422601,1014809,6137,2.656912411,13326.63506,9.392552687
648,West Virginia,8/13/2020,8163,153,6045,1965,455.4871894,339515,,1.874310915,18944.5955,
649,Wisconsin,8/13/2020,63206,1018,53239,8949,1085.55975,1102817,5170,1.610606588,18940.8244,8.179603202
650,Wyoming,8/13/2020,3119,30,2601,488,538.9117059,59571,189,0.961846746,10292.88529,6.059634498
651,Alabama,8/14/2020,106309,1893,41523,62893,2168.162123,824984,12456,1.78065827,16825.47161,11.71678785
652,Alaska,8/14/2020,4073,27,1371,2675,556.7668428,295929,,0.662902038,40452.60374,
653,Arizona,8/14/2020,191721,4423,27029,160269,2633.994425,1067575,20515,2.30699819,14667.07663,10.70044492
654,Arkansas,8/14/2020,52392,587,45446,6359,1736.096844,588660,3566,1.120400061,19506.23699,6.806382654
655,California,8/14/2020,613101,11148,,601953,1551.674276,9556598,,1.818297475,24186.43466,
656,Colorado,8/14/2020,52519,1888,5644,44987,911.9883252,837290,6700,3.594889469,14539.47533,12.75728784
657,Connecticut,8/14/2020,50897,4453,8809,37635,1427.570908,937690,11015,8.749042183,26300.54747,21.64174706
658,Delaware,8/14/2020,16340,593,8613,7134,1678.024655,207475,,3.629130967,21306.49726,
659,Florida,8/14/2020,563285,9141,,554144,2622.645952,4160565,33568,1.622801956,19371.5241,5.959327871
660,Georgia,8/14/2020,231895,4573,,227322,2184.098722,1970053,21818,1.972013196,18554.90734,9.408568533
661,Hawaii,8/14/2020,4543,40,1716,2787,320.8623378,153617,267,0.880475457,10849.63895,5.877173674
662,Idaho,8/14/2020,27171,265,10089,16817,1520.42595,218221,1068,0.975304553,12211.13949,3.930661367
663,Illinois,8/14/2020,204023,7932,,196091,1610.05273,3286680,,3.887796964,25936.91941,
664,Indiana,8/14/2020,78632,3113,59073,16446,1167.995278,886489,9801,3.958948011,13167.85743,12.46439109
665,Iowa,8/14/2020,51247,970,39879,10398,1624.27458,540237,,1.892793725,17122.82136,
666,Kansas,8/14/2020,33030,404,1399,31227,1133.760384,343043,2020,1.223130487,11775.00949,6.115652437
667,Kentucky,8/14/2020,38298,804,9021,28473,857.224779,700642,4158,2.099326336,15682.48169,10.85696381
668,Louisiana,8/14/2020,136737,4430,103512,28795,2941.343497,1637012,,3.239796105,35213.69198,
669,Maine,8/14/2020,4116,126,3604,386,306.2017003,205043,399,3.06122449,15253.76949,9.693877551
670,Maryland,8/14/2020,98875,3631,5986,89258,1635.465324,1110273,13508,3.672313527,18364.73316,13.66169406
671,Massachusetts,8/14/2020,122728,8810,100486,13432,1777.743151,1411532,12150,7.1851205,20479.23664,9.915858028
672,Michigan,8/14/2020,100724,6566,63636,30522,1008.565558,2261151,,6.51880386,22641.26742,
673,Minnesota,8/14/2020,63723,1739,56659,5325,1129.91415,973546,5783,2.728998949,17262.58025,9.07521617
674,Mississippi,8/14/2020,70930,2043,49836,19051,2383.281213,511042,4873,2.880304526,17171.2505,6.870153673
675,Missouri,8/14/2020,65793,1365,,64428,1071.996282,824869,,2.074688797,13439.97844,
676,Montana,8/14/2020,5541,81,4011,1449,518.4425578,199861,319,1.461829995,18699.95453,5.757083559
677,Nebraska,8/14/2020,29988,361,21463,8164,1550.241728,314224,1880,1.203814859,16243.93613,6.269174336
678,Nevada,8/14/2020,59749,1045,1423,57281,1939.804348,538204,,1.748983247,17473.27083,
679,New Hampshire,8/14/2020,6964,423,6190,351,512.1676592,181616,705,6.074095348,13356.956,10.12349225
680,New Jersey,8/14/2020,187164,15903,33223,138038,2107.183026,2429841,22161,8.496826313,27356.32766,11.84041803
681,New Mexico,8/14/2020,23160,703,9980,12477,1104.524976,650491,2928,3.035405872,31022.60604,12.64248705
682,New York,8/14/2020,424167,32827,73997,317343,2180.407998,6901836,89995,7.739168771,35478.52242,21.2168792
683,North Carolina,8/14/2020,142170,2313,116969,22888,1355.538342,1877402,,1.626925512,17900.33337,
684,North Dakota,8/14/2020,8322,121,7066,1135,1092.037131,176603,455,1.453977409,23174.36114,5.467435713
685,Ohio,8/14/2020,106557,3784,84904,17869,911.5928515,1779409,12128,3.551151027,15222.80586,11.38170181
686,Oklahoma,8/14/2020,46897,644,39282,6971,1185.174215,743242,3953,1.373222168,18783.10455,8.429110604
687,Oregon,8/14/2020,22613,385,4355,17873,536.1405891,473107,1863,1.702560474,11217.08158,8.2386238
688,Pennsylvania,8/14/2020,127732,7434,95901,24397,997.7512088,1427689,,5.819998121,11152.08738,
689,Rhode Island,8/14/2020,20335,1021,1953,17361,1919.553391,229865,2350,5.020899926,21698.45784,11.5564298
690,South Carolina,8/14/2020,104841,2204,42730,59907,2036.256044,851784,6852,2.102230997,16543.62623,6.535611068
691,South Dakota,8/14/2020,10024,150,8773,1101,1133.09196,126014,903,1.496408619,14244.35856,9.008379888
692,Tennessee,8/14/2020,130458,1326,91323,37809,1910.304233,1812043,5725,1.016419077,26533.85314,4.388385534
693,Texas,8/14/2020,539673,10078,383717,145878,1861.205735,4282041,,1.867427127,14767.75615,
694,Utah,8/14/2020,45976,360,36679,8937,1434.079922,589817,2744,0.783017226,18397.52735,5.968331303
695,Vermont,8/14/2020,1501,58,1321,122,240.5491122,107417,,3.864090606,17214.56628,
696,Virginia,8/14/2020,104838,2370,13477,88991,1228.255716,1320272,14776,2.260630687,15467.97564,14.09412618
697,Washington,8/14/2020,66139,1755,,64384,868.5479888,1015446,6182,2.653502472,13335.00024,9.346981357
698,West Virginia,8/14/2020,8277,157,6144,1976,461.8482747,344700,,1.89682252,19233.91329,
699,Wisconsin,8/14/2020,64227,1025,54181,9021,1103.095372,1113294,5235,1.595902035,19120.76633,8.15077771
700,Wyoming,8/14/2020,3183,30,2641,512,549.9698493,59992,191,0.942507069,10365.62714,6.000628338
701,Alabama,8/15/2020,107580,1896,41523,64161,2194.084049,837017,12607,1.76240937,17070.88352,11.71872095
702,Alaska,8/15/2020,4156,28,1384,2744,568.112693,296677,,0.673724735,40554.85308,
703,Arizona,8/15/2020,192654,4492,27339,160823,2646.812618,1077191,20795,2.331641181,14799.18782,10.79396223
704,Arkansas,8/15/2020,51992,600,44905,6487,1722.842173,588260,3562,1.154023696,19492.98231,6.851054008
705,California,8/15/2020,617994,11218,,606776,1564.057785,9681111,,1.81522798,24501.55994,
706,Colorado,8/15/2020,52819,1896,5660,45263,917.1978017,848795,6718,3.589617373,14739.25875,12.71890797
707,Connecticut,8/15/2020,50897,4453,8809,37635,1427.570908,937690,11015,8.749042183,26300.54747,21.64174706
708,Delaware,8/15/2020,16396,593,8649,7154,1683.775535,208761,,3.616735789,21438.56212,
709,Florida,8/15/2020,569637,9345,,560292,2652.220762,4202725,34074,1.640518435,19567.82039,5.981704138
710,Georgia,8/15/2020,235168,4669,,230499,2214.925411,1988066,22028,1.985389169,18724.56245,9.366920669
711,Hawaii,8/15/2020,4825,40,1756,3029,340.7793925,156266,277,0.829015544,11036.73213,5.740932642
712,Idaho,8/15/2020,27475,269,10369,16837,1537.437083,221012,1091,0.979071884,12367.31736,3.970882621
713,Illinois,8/15/2020,205851,7937,,197914,1624.478439,3331094,,3.855701454,26287.41362,
714,Indiana,8/15/2020,79676,3128,59488,17060,1183.502795,897615,9872,3.925899895,13333.12241,12.39018023
715,Iowa,8/15/2020,52065,975,40381,10709,1650.201105,546074,,1.872659176,17307.82518,
716,Kansas,8/15/2020,33885,406,1399,32080,1163.108405,343043,2020,1.198170282,11775.00949,5.961339826
717,Kentucky,8/15/2020,38930,810,9091,29029,871.3708456,711976,4193,2.080657591,15936.1708,10.77061392
718,Louisiana,8/15/2020,136737,4430,103512,28795,2941.343497,1637012,,3.239796105,35213.69198,
719,Maine,8/15/2020,4144,127,3616,401,308.2847051,207354,399,3.064671815,15425.69178,9.628378378
720,Maryland,8/15/2020,99693,3636,5995,90062,1648.995646,1127652,13556,3.647196894,18652.19462,13.59774508
721,Massachusetts,8/15/2020,123199,8826,100486,13887,1787.43484,1434501,12170,7.164019188,20812.48278,9.878326934
722,Michigan,8/15/2020,101782,6586,67778,27418,1019.159481,2291779,,6.470692264,22947.95049,
723,Minnesota,8/15/2020,64413,1705,57457,5251,1142.148991,984473,5822,2.646981199,17456.33403,9.038548119
724,Mississippi,8/15/2020,71755,2080,49836,19839,2411.0016,519765,4916,2.8987527,17464.34738,6.851090516
725,Missouri,8/15/2020,67004,1378,,65626,1091.727675,835441,,2.056593636,13612.23301,
726,Montana,8/15/2020,5659,82,4123,1454,529.4832042,200936,324,1.449019261,18800.53669,5.725393179
727,Nebraska,8/15/2020,30241,361,22004,7876,1563.320665,317683,1880,1.193743593,16422.75053,6.216725637
728,Nevada,8/15/2020,60608,1069,1423,58116,1967.692545,542850,,1.763793559,17624.10735,
729,New Hampshire,8/15/2020,6980,423,6264,293,513.3443798,183377,706,6.06017192,13486.46882,10.11461318
730,New Jersey,8/15/2020,187442,15910,33264,138268,2110.312885,2461383,22197,8.487958942,27711.44279,11.84206314
731,New Mexico,8/15/2020,23302,711,10182,12409,1111.297106,659042,2946,3.051240237,31430.4123,12.64269161
732,New York,8/15/2020,424901,32833,74081,317987,2184.181086,6990504,89995,7.727211751,35934.31557,21.18022786
733,North Carolina,8/15/2020,143704,2343,116969,24392,1370.164465,1903401,,1.630434783,18148.22421,
734,North Dakota,8/15/2020,8444,121,7161,1162,1108.046327,178145,457,1.432970156,23376.70688,5.412126954
735,Ohio,8/15/2020,107674,3824,86018,17832,921.1487625,1802350,12210,3.551460891,15419.06563,11.33978491
736,Oklahoma,8/15/2020,47798,657,39907,7234,1207.944157,754417,3998,1.374534499,19065.51754,8.36436671
737,Oregon,8/15/2020,23018,386,4355,18277,545.7428948,484879,1863,1.676948475,11496.1886,8.093665827
738,Pennsylvania,8/15/2020,128531,7451,96564,24516,1003.992426,1443684,,5.797045071,11277.02891,
739,Rhode Island,8/15/2020,20335,1021,1953,17361,1919.553391,229865,2350,5.020899926,21698.45784,11.5564298
740,South Carolina,8/15/2020,105882,2260,42730,60892,2056.474685,860400,6852,2.134451559,16710.96899,6.471354905
741,South Dakota,8/15/2020,10118,152,8884,1082,1143.717523,127449,913,1.502273177,14406.56795,9.023522435
742,Tennessee,8/15/2020,131747,1345,92100,38302,1929.179136,1829758,5813,1.020896111,26793.25494,4.412244681
743,Texas,8/15/2020,546552,10268,393266,143018,1884.929794,4321676,,1.878686749,14904.44798,
744,Utah,8/15/2020,46321,363,37346,8612,1444.841136,594901,2760,0.783661838,18556.1071,5.958420587
